<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.16	16:00:00	1911.705	1929.333	1894.750	1928.002	50234	0	0
2022.03.16	20:00:00	1927.966	1929.424	1921.339	1926.898	8002	0	0
2022.03.17	00:00:00	1926.899	1938.096	1925.557	1936.376	17395	0	0
2022.03.17	04:00:00	1936.375	1937.409	1929.932	1935.460	14814	0	0
2022.03.17	08:00:00	1935.491	1946.843	1934.724	1943.164	20874	0	0
2022.03.17	12:00:00	1943.219	1949.689	1935.477	1948.121	37591	0	0
2022.03.17	16:00:00	1948.113	1948.269	1935.453	1937.412	20705	0	0
2022.03.17	20:00:00	1937.380	1944.130	1936.372	1943.947	6410	0	0
2022.03.18	00:00:00	1943.915	1945.340	1926.399	1935.063	17716	0	0
2022.03.18	04:00:00	1935.061	1935.981	1929.723	1934.367	13783	0	0
2022.03.18	08:00:00	1934.331	1940.667	1928.886	1939.930	18818	0	0
2022.03.18	12:00:00	1939.953	1940.830	1921.309	1932.370	38531	0	0
2022.03.18	16:00:00	1932.378	1932.961	1917.946	1919.963	21840	0	0
2022.03.18	20:00:00	1919.994	1921.774	1918.162	1921.271	2610	0	0
2022.03.20	20:00:00	1925.067	1926.334	1918.261	1918.985	4780	0	0
2022.03.21	00:00:00	1919.007	1928.643	1918.771	1926.392	13278	0	0
2022.03.21	04:00:00	1926.398	1928.865	1921.825	1925.027	12053	0	0
2022.03.21	08:00:00	1925.033	1928.659	1922.519	1925.325	14966	0	0
2022.03.21	12:00:00	1925.331	1937.276	1917.662	1935.042	28970	0	0
2022.03.21	16:00:00	1935.045	1941.097	1926.962	1935.125	24741	0	0
2022.03.21	20:00:00	1935.092	1937.067	1933.799	1935.506	4932	0	0
2022.03.22	00:00:00	1935.543	1937.935	1929.342	1936.734	14516	0	0
2022.03.22	04:00:00	1936.767	1938.331	1932.167	1933.406	13168	0	0
2022.03.22	08:00:00	1933.475	1933.475	1922.696	1927.693	22595	0	0
2022.03.22	12:00:00	1927.662	1930.671	1910.378	1917.897	35276	0	0
2022.03.22	16:00:00	1917.877	1924.845	1917.640	1921.636	18657	0	0
2022.03.22	20:00:00	1921.667	1922.195	1919.427	1919.665	4881	0	0
2022.03.23	00:00:00	1919.663	1924.364	1915.575	1921.822	12702	0	0
2022.03.23	04:00:00	1921.821	1922.482	1916.683	1920.560	10009	0	0
2022.03.23	08:00:00	1920.572	1934.992	1920.348	1930.619	19094	0	0
2022.03.23	12:00:00	1930.653	1936.657	1924.881	1929.397	26601	0	0
2022.03.23	16:00:00	1929.400	1948.282	1927.726	1946.558	19357	0	0
2022.03.23	20:00:00	1946.590	1947.385	1943.832	1946.104	5820	0	0
2022.03.24	00:00:00	1946.106	1948.555	1938.685	1938.864	13462	0	0
2022.03.24	04:00:00	1938.856	1944.005	1937.434	1943.872	12424	0	0
2022.03.24	08:00:00	1943.875	1956.693	1937.879	1956.197	20283	0	0
2022.03.24	12:00:00	1956.256	1965.654	1942.467	1962.978	41744	0	0
2022.03.24	16:00:00	1963.008	1966.151	1960.651	1961.603	18374	0	0
2022.03.24	20:00:00	1961.633	1962.332	1956.215	1959.217	5144	0	0
2022.03.25	00:00:00	1959.236	1964.253	1957.760	1960.882	12690	0	0
2022.03.25	04:00:00	1960.867	1962.395	1952.985	1954.770	12131	0	0
2022.03.25	08:00:00	1954.774	1960.614	1949.887	1953.195	17699	0	0
2022.03.25	12:00:00	1953.193	1961.617	1943.079	1957.140	37534	0	0
2022.03.25	16:00:00	1957.147	1959.481	1951.643	1954.492	17884	0	0
2022.03.25	20:00:00	1954.495	1958.481	1953.892	1958.248	1819	0	0
2022.03.27	20:00:00	1955.588	1957.911	1954.787	1957.222	4351	0	0
2022.03.28	00:00:00	1957.209	1958.405	1941.909	1944.528	19587	0	0
2022.03.28	04:00:00	1944.553	1944.815	1931.284	1933.034	20550	0	0
2022.03.28	08:00:00	1933.231	1934.280	1925.211	1930.178	23386	0	0
2022.03.28	12:00:00	1930.171	1945.352	1929.599	1936.670	38220	0	0
2022.03.28	16:00:00	1936.700	1940.088	1916.898	1919.232	21016	0	0
